image,prompt,guidance,strength,steps,identity,prompt_sim,locality
data/test/IMG_2817.png,buzzcut hairstyle,5,0.5,20,0.9426674842834473,0.15386329591274261,0.08656657593451897
data/test/IMG_2817.png,buzzcut hairstyle,5,0.5,35,0.9358616471290588,0.15456697344779968,0.0811303816583473
data/test/IMG_2817.png,buzzcut hairstyle,5,0.5,50,0.9466215372085571,0.14449648559093475,0.07335313681729455
data/test/IMG_2817.png,buzzcut hairstyle,5,0.7,20,0.9028670787811279,0.15489952266216278,0.08164096224658814
data/test/IMG_2817.png,buzzcut hairstyle,5,0.7,35,0.9078836441040039,0.1646004617214203,0.08617217022803632
data/test/IMG_2817.png,buzzcut hairstyle,5,0.7,50,0.908596932888031,0.16342303156852722,0.0711976424616905
data/test/IMG_2817.png,buzzcut hairstyle,5,0.9,20,0.8723446130752563,0.1511920988559723,0.06522171692791094
data/test/IMG_2817.png,buzzcut hairstyle,5,0.9,35,0.8646290302276611,0.1554432511329651,0.04317186496885284
data/test/IMG_2817.png,buzzcut hairstyle,5,0.9,50,0.7271904945373535,0.16293621063232422,0.07594512048796039
data/test/IMG_2817.png,buzzcut hairstyle,5,0.99999,20,0.704265832901001,0.20022112131118774,0.059590531052855694
data/test/IMG_2817.png,buzzcut hairstyle,5,0.99999,35,0.7552827596664429,0.19114728271961212,0.06446497487831081
data/test/IMG_2817.png,buzzcut hairstyle,5,0.99999,50,0.698091983795166,0.20419521629810333,0.0527650364002881
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.5,20,0.9324390292167664,0.14964047074317932,0.08009834462433162
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.5,35,0.9226065278053284,0.15351131558418274,0.08101098501960373
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.5,50,0.925767183303833,0.15969565510749817,0.082196615155905
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.7,20,0.9156493544578552,0.16737720370292664,0.08364914769278707
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.7,35,0.8923022747039795,0.17242825031280518,0.07608326260275484
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.7,50,0.8816095590591431,0.1685962826013565,0.08041689514350903
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.9,20,0.7206805944442749,0.19155535101890564,0.07293109277495713
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.9,35,0.8857687711715698,0.1712772101163864,0.036101194729238055
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.9,50,0.6710456609725952,0.18841567635536194,0.07294221009659882
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.99999,20,0.7070017457008362,0.18782594799995422,0.03856158253943358
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.99999,35,0.707195520401001,0.18126067519187927,0.021489089887317618
data/test/IMG_2817.png,buzzcut hairstyle,8.5,0.99999,50,0.6925163269042969,0.19253438711166382,0.08416534735575418
data/test/IMG_2817.png,buzzcut hairstyle,12,0.5,20,0.9088362455368042,0.15630558133125305,0.07979601907223806
data/test/IMG_2817.png,buzzcut hairstyle,12,0.5,35,0.9230287075042725,0.1596979945898056,0.06583095697420119
data/test/IMG_2817.png,buzzcut hairstyle,12,0.5,50,0.8874205350875854,0.14880020916461945,0.07735949651483287
data/test/IMG_2817.png,buzzcut hairstyle,12,0.7,20,0.8776557445526123,0.1610603630542755,0.06938837308532411
data/test/IMG_2817.png,buzzcut hairstyle,12,0.7,35,0.8590067625045776,0.14957697689533234,0.07400638716700157
data/test/IMG_2817.png,buzzcut hairstyle,12,0.7,50,0.8801596760749817,0.17496776580810547,0.053567391877360725
data/test/IMG_2817.png,buzzcut hairstyle,12,0.9,20,0.6768624782562256,0.18727080523967743,0.025077343708502665
data/test/IMG_2817.png,buzzcut hairstyle,12,0.9,35,0.7136555910110474,0.20428034663200378,0.054012387385337805
data/test/IMG_2817.png,buzzcut hairstyle,12,0.9,50,0.729436993598938,0.1935119777917862,0.022486860026064426
data/test/IMG_2817.png,buzzcut hairstyle,12,0.99999,20,0.6754063367843628,0.1844472587108612,0.06469753344520297
data/test/IMG_2817.png,buzzcut hairstyle,12,0.99999,35,0.6843639612197876,0.19824671745300293,0.016687077745881625
data/test/IMG_2817.png,buzzcut hairstyle,12,0.99999,50,0.6729139685630798,0.20172789692878723,0.08406567117464382
